Time,Q,S_s,S_NH4
0,21477,63.63455,30.24762
0.010416667,21474,61.67313,30.21283
0.020833333,19620,61.71973,31.04771
0.03125,19334,62.16018,31.67387
0.041666667,18978,64.57526,33.15925
0.052083333,18321,67.84871,35.11773
0.0625,17855,72.14054,37.86587
0.072916667,17237,72.47069,37.86587
0.083333333,16453,69.7643,36.8501
0.09375,16548,67.49915,36.47441
0.104166667,16295,62.83833,34.38721
0.114583333,14743,62.46546,34.67942
0.125,13613,53.74197,32.06695
0.135416667,12807,54.44886,29.89975
0.145833333,12173,50.06769,27.06813
0.15625,11533,46.35457,24.70265
0.166666667,12198,44.35819,23.38772
0.177083333,11640,42.57931,22.19802
0.1875,11978,40.00033,20.31607
0.197916667,13272,40.38873,20.54218
0.208333333,12452,40.77713,20.71611
0.21875,13453,40.46641,20.7509
0.229166667,13815,40.83539,20.66393
0.239583333,13803,40.46641,20.61175
0.25,12514,40.50525,20.54218
0.260416667,12542,40.52467,20.43782
0.270833333,11865,40.31105,20.40303
0.28125,12118,40.11685,20.15953
0.291666667,11906,40.04693,20.02734
0.302083333,12059,40.34212,19.99951
0.3125,12446,40.58293,20.10039
0.322916667,12982,40.89365,20.40303
0.333333333,12956,41.16553,20.82047
0.34375,12745,41.86465,21.16834
0.354166667,13597,42.42395,21.6136
0.364583333,14171,43.94649,22.1354
0.375,17637,48.77431,24.68178
0.385416667,17635,59.88648,29.65625
0.395833333,22461,71.46084,34.24807
0.40625,26276,80.00567,37.93544
0.416666667,25598,94.90087,43.39692
0.427083333,27780,105.7761,46.61468
0.4375,29551,115.2104,49.24802
0.447916667,31861,120.011,49.99941
0.458333333,32171,118.9701,49.24802
0.46875,32180,112.1109,45.74154
0.479166667,31869,102.4553,40.85751
0.489583333,28047,94.81153,39.03469
0.5,26695,88.37961,36.8501
0.510416667,26690,81.2874,34.24807
0.520833333,25572,75.7721,32.16088
0.53125,25496,70.37332,30.77985
0.541666667,22401,68.27595,29.79539
0.552083333,26555,67.03307,29.23881
0.5625,25905,66.76507,28.52221
0.572916667,24310,67.07967,27.95867
0.583333333,23404,68.08952,28.12564
0.59375,20560,68.72261,27.55166
0.604166667,18732,68.31479,27.4647
0.614583333,25320,65.16874,26.45589
0.625,23046,61.64516,26.1776
0.635416667,21357,59.76219,26.28891
0.645833333,22487,58.94655,26.78984
0.65625,18221,59.38933,27.29076
0.666666667,17442,60.21274,27.12379
0.677083333,19246,62.42662,27.42295
0.6875,19197,65.86786,28.33436
0.697916667,19637,65.61928,28.2787
0.708333333,19014,64.00353,27.7082
0.71875,18480,59.54469,26.68548
0.729166667,18208,58.34064,26.57068
0.739583333,18547,57.33857,26.62286
0.75,18666,58.6902,27.4647
0.760416667,18670,60.46908,28.33436
0.770833333,18654,63.25004,29.26664
0.78125,23137,62.37225,30.63027
0.791666667,22509,62.21689,30.58853
0.802083333,22031,62.01492,28.16043
0.8125,22489,66.41162,29.79539
0.822916667,18876,67.18843,29.82322
0.833333333,20674,68.47015,30.30328
0.84375,24145,71.88808,32.13305
0.854166667,22518,75.64392,33.77149
0.864583333,22803,77.44222,34.30373
0.875,21780,80.08335,35.63953
0.885416667,19067,82.60408,36.06393
0.895833333,26211,83.83531,35.93174
0.90625,24096,84.21983,35.45168
0.916666667,23071,83.377,35.69519
0.927083333,22388,81.99584,35.62561
0.9375,17483,80.14161,35.37863
0.947916667,25814,77.75294,34.9438
0.958333333,23248,75.6245,34.14371
0.96875,24098,71.87255,32.70355
0.979166667,22402,69.45669,31.46515
0.989583333,19962,67.49915,30.68245
1,18363,63.63455,30.24762
1.010416667,18618,61.67313,30.21283
1.020833333,19046,61.71973,31.04771
1.03125,23433,62.16018,31.67387
